Sl.No,District/Taluk/Hobli,Normal_mm,Actual_mm,Departure (%)
147,Naragund,556.8,771.8,39
1,Naragund,556.8,827.6,49
2,Konnur,583.3,699.2,20
148,Ron,699.4,576.4,-18
1,Ron,699.4,684.3,-2
2,Hole Alur,623.2,485.3,-22
3,Nargil,668.2,571.1,-15
149,Shirahatti,688.5,642.7,-7
1,Shirahatti,688.5,642.4,-7
150,Gajendragad,737.1,669,-9
1,Rona,737.1,685.7,-7
2,Nargil,660.1,661,0
151,Laxmeshwar,593.6,676.8,14
1,Laxmeshwar,593.6,674,14
21,HAVERI,799.5,680.1,-15
152,Byadgi,678.6,747,10
1,Byadgi,678.6,695.5,2
2,Kaginelli,796.7,803.7,1
153,Hanagal,1043.7,809.6,-22
1,Hangal,1043.7,855,-18
2,Akki Alur,1067.1,792.9,-26
3,Bommanhalli,1024.3,785.4,-23
154,Haveri,777.8,665.4,-14
1,Haveri,777.8,660.3,-15
2,Guttal,618.6,711.5,15
3,Karajgi,732.2,602.2,-18
155,Hirekerur,856.2,663.1,-23
1,Hirekerur,856.2,651.1,-24
2,Haunsbhavi,917.7,679.3,-26
156,Ranebennur,622.6,594.1,-5
1,Ranebennur,622.6,596.5,-4
2,Kuppelur,707.7,573.9,-19
3,Medleri,650.6,595.6,-8
157,Savanur,698.9,612.9,-12
1,Savanur,698.9,617.4,-12
2,Hatti Mattur,716.5,604.5,-16
158,Shiggaon,813.6,665.9,-18
1,Shiggaon,813.6,581.4,-29
2,Bankapur,808,629,-22
3,Dhundsi,955.2,752.1,-21
159,Ratteehalli,789.5,729.9,-8
1,Rattihalli,789.5,733.7,-7
2,Hirekerur,829.5,704.5,-15
22,DHARWAD,787.1,852.6,8
160,Dharwad,776.9,811,4
1,Dharwad,776.9,837.1,8
2,Aminbhavi,792.2,848.4,7
3,Garag,908.4,757.9,-17
161,Hubballi,771.6,800.2,4
1,Chabbi,771.6,806.4,5
2,Shirguppi,699.1,799.8,14
162,Kalghatgi,978.5,1076.5,10
1,Kalghatgi,978.5,1061,8
2,Dummavada,851.6,1015.2,19
3,Tabkad Honnihalli,965.1,1188.8,23
163,Kundgol,661.3,807.5,22
1,Kundgol,661.3,835.9,26
2,Saunshi,695.9,784.8,13
164,Navalgund,630.6,783.9,24
1,Moraba,630.6,792.3,26
165,Hubballi Nagara,745.8,623.2,-16
1,Hubballi Urban,745.8,629.7,-16
166,Alnavara,1267.4,999.1,-21
1,Alnavar,1267.4,1017.3,-20
167,Annigeri,650.6,842.5,29
1,Annigeri,650.6,842.1,29
23,SHIVAMOGGA,2324.5,2281.6,-2
168,Bhadravathi,865.7,872.1,1
1,Bhadravathi_1,865.7,720.5,-17
2,Bhadravathi_2,936.4,926.9,-1
3,Hole Honnuru_1,882.5,832.9,-6
4,Hole Honnuru_3,845.6,1102,30
5,Hole Honnuru_2,799.5,1113.4,39
6,Kudligere,881.6,699,-21
169,Hosanagara,3070.8,3175.5,3
1,Hosanagar,3070.8,2983.4,-3
2,Huncha,2490.3,2605.6,5
3,Kerehalli,1764,1488.7,-16
4,Nagar,5204.7,4686.5,-10
170,Sagara,2494.5,3350.9,34
1,Sagar,2494.5,2085.9,-16
2,Anandapuram,1702.1,1778.3,4
3,Baragadde,4039.8,4903.6,21
4,Anahalli,2692.4,2912.3,8
5,Karauru,4154.3,4492.3,8
6,Talguppa,2709.9,2781.9,3
171,Shikaripura,975.2,931.4,-4
1,Shikaripur,975.2,1105.6,13
2,Anjanapura,1170.9,1028.6,-12
3,Husuru,861.4,653.4,-24
4,Udagani,1036.8,1101.3,6
5,Talagunda,1050.4,909.4,-13
172,Shivamogga,842.3,908.7,8
1,Shivamogga_2,842.3,800.2,-5
2,Shivamogga_1,1150.4,908.5,-21
3,Haranahalli,1037.2,705.6,-32
4,Holalur_1,842.5,704.5,-16
5,Holalur_2,912.8,753.2,-17
6,Kumsi,983.9,975.4,-1
7,Nidige_1,950.8,922.8,-3
8,Nidige_2,1192.9,1207.3,1
9,Ayanuru,1043,883.6,-15
173,Soraba,1541,1560,1
1,Sorab,1541,1439.2,-7
2,Anavatti,1260.8,1117.2,-11
3,Chandragutti,2331.7,2120.5,-9
4,Jade,1477.8,1507,2
5,Kuppagadde,1417.3,1283.4,-9
6,Ulvi,1895.2,1774.1,-6
174,Tirthahalli,2866.8,3218.3,12
1,Thirthahalli,2866.8,3627.2,27
2,Agrahara,2713.1,2794.3,3
3,Agumbe,7565,5246.9,-31
4,Mandagadde,1690,1699.4,1
5,Malur,2578.7,2841.8,10
24,HASSAN,1141.9,1479.7,30
175,Alur,1149,1391.1,21
1,Alur,1149,944.1,-18
2,Kenchamman Hoskota,1813.9,2054.1,13
3,Kundur,1136,1013.9,-11
4,Palya,1581.1,1325,-16
176,Arkalgud,885.3,1081,22
1,Arkalgud,885.3,1129.2,28
2,Doddamagge,898.7,1143.5,27
3,Konanuru,797.1,988,24
4,Mallipatna,1246,1227.4,-1
5,Ramanathapura,829.6,942.5,14
177,Arasikere,695.6,880.9,27
1,Arasikere,695.6,825.3,19
2,Banavara,564.4,816,45
3,Gandasi,661,979.6,48
4,Javagal,934.4,826.3,-12
5,Kanakatte,595.4,933.2,57
178,Belur,1021,1205.5,18
1,Belur,1021,1057.2,4
2,Arehalli,1789.6,1904.5,6
3,Bikkodu,1213.4,1486.6,23
4,Halebeedu,1305.2,881,-33
5,Madihalli,1004.9,818,-19
179,Channarayapatna,689.5,857.8,24
1,Channarayapatna,689.5,791,15
2,Baguru,778.5,874.4,12
3,Dandiganahalli,691.9,862.1,25
4,Hirisave,768.3,1052.9,37
5,Nuggehalli,669,824.5,23
6,Shravan Belgola,733,717.9,-2
180,Hassan,845.6,853.6,1
1,Hassan,845.6,864.9,2
2,Dudda,652.3,753.8,16
3,Kattya,692.6,969.1,40
4,Salagame,816.2,938.3,15
5,Shantigrama,661.4,798.3,21
181,Holenarasipura,768.4,785.5,2
1,Holenarasipur,768.4,778.3,1
2,Halekote,778.2,742.1,-5
3,Halli Mysore,766.8,818.3,7
182,Sakaleshpura,2246.7,4357,94
1,Sakaleshpur,2246.7,3422.9,52
2,Balegodu,1789.7,2202.3,23
3,Hanbalu,2377.2,4346.4,83
4,Hettur,2218.3,6488.2,192
5,Yaslur,1783.4,3571.8,100
25,CHIKKAMAGALURU,1832.8,1972,8
183,Chikkamagaluru,835.8,1635.3,96
1,Chikkamagaluru,835.8,1285.8,54
2,Amble,937.8,1000.7,7
3,Aldur,1642.9,1892.7,15
4,Sangmeswrpet,2338.6,2083.3,-11
5,Lakya,1283.1,1102.6,-14
6,Avathi,1340.3,2124.3,58
7,Jagar,909.2,1844.2,103
8,Vasthare,1048.1,2017.3,92
184,Kadur,638.9,701,10
1,Kadur,638.9,670.3,5
2,Birur,676.5,756.6,12
3,Hirenalluru,643,643.6,0
4,Sakkarepatna,813.4,731.3,-10
5,Shingatagere,630,842.7,34
6,Yagati,632.4,567,-10
7,Panchanahalli,593.7,716.5,21
185,Koppa,2906.9,3440.8,18
1,Koppa,2906.9,3480.4,20
2,Hariharpur,3046.1,4080.7,34
3,Meguda,3121.6,3058.7,-2
186,Mudigere,2315.3,2919,26
1,Mudigere,2315.3,2304.5,0
2,Bankal,4139.1,2978,-28
3,Gonibidu,2268.2,3136,38
4,Baluru,3866,2993.2,-23
187,Narasimharajapura,1609,2108.4,31
1,Narasimharajapur,1609,1725.8,7
2,Balehonnur,2590.1,2574.8,-1
188,Sringeri,3887.2,4444.1,14
1,Sringeri,3887.2,3885.5,0
2,Kigga,4377,4623.2,6
189,Tarikere,913.9,1064.6,16
1,Tarikere,913.9,986.4,8
2,Amrutapur,881.4,906.8,3
3,Lakavalli,1255.8,1097.6,-13
4,Lingadahalli,825.3,1197.5,45
190,Ajjampura,668.6,727.2,9
1,Ajjampura,668.6,830.9,24
2,Chowlahiriyur,607.1,571.3,-6
3,Shivani,575.4,710.3,23
4,Amrutpura,698.2,706,1
5,Hirenalluru,644.9,813.5,26
191,Kalasa,3491.3,4091.3,17
1,Kalasa,3491.3,4080.4,17
26,KODAGU,2729.4,3169,16
192,Madikeri,3265.2,4048,24
1,Madikeri,3265.2,3885.1,19
2,Bhagamandala,5783.9,4467.3,-23
3,Napoklu,2832.8,3518.5,24
4,Sampaje,4417.5,4354.9,-1
193,Somwarpet,2098.1,2840.8,35
1,Somwarpet,2098.1,2492.3,19
2,Kodlipet,1613.1,1887.6,17
3,Sanivarsante,1862.9,1889,1
4,Santhahalli,2294.3,4444.2,94
194,Virajpet,2467.7,2506.7,2
1,Virajpet,2467.7,3015.7,22
2,Ammati,1992.7,3007.3,51
195,Kushalanagara,978.4,2101,115
1,Kushalnagar,978.4,1907.7,95
2,Suntikoppa,1589.1,1654.5,4
196,Ponnampete,2267.1,2987.5,32
1,Ponnampet,2267.1,1939.9,-14
2,Blale,1798.5,1714.4,-5
3,Hudakere,2402.6,5581.3,132
4,Srimangala,2753,2812.9,2
27,DAKSHINA KANNADA,4006.4,4909.9,23
197,Beltangadi,4426.4,5136.7,16
1,Belthangady,4426.4,4811.9,9
2,Kokkada,4261.4,5137.7,21
3,Venur,4117.3,5778.6,40
198,Bantwal,3856.4,4891.4,27
1,Bantwal,3856.4,5318.7,38
2,Pane Mangalore,3884.9,4761.3,23
3,Vittal,3984.1,4620.2,16
199,Mangaluru,3608.9,4176.5,16
1,Mangaluru_A,3630.7,3641.7,0
2,Gurpur,3801.3,4288.6,13
3,Suratkal,3834.2,4394.5,15
200,Puttur,4058.3,4564.7,12
1,Puttur,4058.3,4548.4,12
2,Uppinangadi,3939.3,4647.1,18
201,Sulya,3592,4670.7,30
1,Sullia,3592,4562.1,27
2,Panaje,4014.6,4892,22
202,Mudabidri,4009.5,5367.2,34
1,Mudbidri,4009.5,5405.6,35
203,Kadaba,4135.2,5246.4,27
1,Kadaba,4135.2,5348.1,29
2,Panaje,4214.9,4860.1,15
3,Uppinangadi,3494.9,5292.7,51
204,Mulki,3788,4346.5,15
1,Mulki,3788,4368.4,15
205,Ullala,3609.2,4454.8,23
1,Mangaluru_B,3608.9,4465.9,24
28,UDUPI,4534.6,5427.9,20
206,Karkala,4776.6,5554.8,16
1,Karkala,4776.6,5458.8,14
2,Ajekar,4755.1,5723.5,20
207,Kundapur,3786,5327.8,41
1,Kundapur,3786,4938.5,30
2,Vandse,4259.6,5615.5,32
208,Udupi,3861.5,4938.6,28
1,Udupi,3861.5,4918.9,27
2,Brahmavara,4333,4939.4,14
209,Bynduru,4428.1,5655.1,28
1,Bainduru,4428.1,5686.2,28
210,Bramhavara,4042.9,4959.8,23
1,Brahmavara,4042.9,5095.9,26
2,Kota,3524.7,4874.6,38
211,Kapu,3757,4829.7,29
1,Kapu,3757,4847.7,29
212,Hebri,5801.8,5974.7,3
1,Ajekar,5801.8,6241,8
2,Kundapur,5072.7,5179.2,2
29,UTTARA KANNADA,2936.3,3408.3,16
213,Ankola,3532.2,4487.3,27
1,Ankola,3532.2,4531.8,28
2,Belikere,3516.8,4525.2,29
3,Basagod,3438,4002.2,16
4,Blale,3363.5,4629.4,38
214,Bhatkal,4322.3,5309,23
1,Susgadi,4322.3,5425.8,26
2,Mavalli,4071.1,5270.6,29
215,Haliyal,1339,980.3,-27
1,Haliyal,1339,1036.9,-23
2,Murkvad,1061.4,923.6,-13
3,Sambrani,1259.9,1007.8,-20
4,Dandeli,1370.7,1142.6,-17
216,Honnavar,3727.9,5331.6,43
1,Honnavar,3727.9,4827.1,29
2,Manki,3667.6,4907.4,34
3,Mavinakurvei,3869,5904.4,53
217,Karwar,3233.6,4758.9,47
1,Baad,3233.6,4706.5,46
2,Ghadasaya,3611.4,4695.7,30
3,Kinnar,3447.7,5318.1,54
4,Savantvada,3329.4,4603.9,38
218,Kumta,3522.6,4806.3,36
1,Kumta,3522.6,4786.7,36
2,Gokarna,3243.4,4149.8,28
3,Kujahalli,3977.6,5074.2,28
4,Mirjan,3525.7,4814.6,37
219,Mundgod,1437.6,1319.4,-8
1,Mundgod,1437.6,1287.3,-10
2,Pala,1243,1387,12
220,Siddapur,3016,4271.6,42
1,Umbalamani,4455.6,4142.4,-7
2,Siddapura,3016,3483.1,15
3,Kodkani,3370.5,4970.1,47
221,Sirsi,2359.9,3381,43
1,Sirsi,2359.9,2777.6,18
2,Banavasi,1510.9,2132.3,41
3,Hulekal,2174.3,3750.9,73
4,Sampakanda,4140.6,4421.1,7
222,Supa,2578.3,2869.9,11
1,Supa,2578.3,2232.3,-13
2,Kasalrock,4657.9,3323.6,-29
3,Kumbarawada,3072.6,3125.6,2
223,Yellapur,2667.9,2231.7,-16
1,Yellapur,2667.9,2580.1,-3
2,Manchikeri,1989.4,1986.4,0
224,Dandelli,1539.5,1361.1,-12
1,Dhandeli,1539.5,1348.7,-12
30,YADGIR,718.6,953,33
225,Shahapur,848.4,990.2,17
1,Shahpur,848.4,1036.2,22
2,Doranahlli,815.6,889.7,9
3,Gogi,775,984,27
4,Hayyalbuzurg,735.3,1047.8,42
226,Shorapur,720.8,934.4,30
1,Shorapur,720.8,1021.6,42
2,Kakkeri,575.5,890,55
3,Kembhavi,583.6,884.2,52
227,Yadgir,908.1,933.6,3
1,Yadgir,908.1,849.5,-6
2,Balichakra,773.1,956.6,24
3,Hattikuni,854.3,1023.6,20
4,Saidapur,753.6,885.7,18
228,Gurumithakala,773.2,1050.5,36
1,Gurmitakal,773.2,1142.2,48
2,Konakal,776,959.9,24
3,Balichakra,762.7,1031.7,35
229,Vadagera,616.9,887.5,44
1,Wadagera,616.9,903.4,46
2,Doranahlli,715.4,737.9,3
3,Hayyala Buzurg,722.2,957.2,33
230,Hunisigi,500.5,929.8,86
1,Hunasagi,500.5,1024.9,105
2,Kodekal,621.6,866.2,39
3,Kakkera,571.3,787,38
31,VIJAYANAGAR,642.5,591.1,-8
231,Hosapete,703.8,545.5,-22
1,Hospet,703.8,552.9,-21
2,Kamalapura,658.3,564.7,-14
3,Mariyammanahalli,673.1,427.9,-36
232,Hadagali,641,550.7,-14
1,Hadagali,641,531.6,-17
2,Hirehadagalli,652.1,656.4,1
3,Ittigi,666.5,471.5,-29
233,Hagaribommanahalli,634.6,577.1,-9
1,Hagaribommanahalli,634.6,578.9,-9
2,Hampa Sagara,616.9,733,19
3,Tambarahalli,627.6,596.9,-5
4,Kogali,616.9,424.1,-31
234,Harappanahalli,754.8,608.7,-19
1,Harapanahalli,754.8,535.9,-29
2,Arasikere,656.2,736.8,12
3,Chigateri,761.2,573.6,-25
4,Telagi,665.4,561.3,-16
235,Kotturu,533,720,35
1,Kotturu,533,753.4,41
2,Kogali,641.4,611.3,-5
3,Hoshalli,560.4,666.5,19
236,Kudligi,589.8,601.8,2
1,Kudligi,589.8,755,28
2,Gudekote,521.4,471.4,-10
3,Hosahalli,504,668.7,33
